title,titleVF,youtube_url,category_id
LA Noire,Main Theme,https://www.youtube.com/watch?v=4WmQFDVuU1k,games
Last Window: Secret of Cape West,Silent Tears,https://www.youtube.com/watch?v=O-Zb-_GQhAM,games
League of Legends,All Pings 2023 Sounds,https://www.youtube.com/watch?v=_rHmbplZpuo,games
Left 4 dead,Tank,https://www.youtube.com/watch?v=WhiGnj7QX2A,games
Left 4 Dead 2,Intro Song,https://www.youtube.com/watch?v=3M3uarvzsOs,games
Lethal Company,Mid Day,https://www.youtube.com/watch?v=QeUpi-mw_Ec,games
Life is Strange,To All Of You By Syd Matters,https://www.youtube.com/watch?v=LnG6icGIm0o,games
Little Missfortune,Let's Play,https://www.youtube.com/watch?v=o0n84rVCAMo,games
Little Nightmares,Trailer Soundtrack #1,https://www.youtube.com/watch?v=gF3QWGwNPPU,games
Lost Ark,Main Theme,https://www.youtube.com/watch?v=ImLUK7HyaC4,games
Lost in Blue 2,Start Menu Theme,https://www.youtube.com/watch?v=4MswJpUeL5I,games
Luigi's Mansion,Theme Song,https://www.youtube.com/watch?v=0uaIuzOaWpk,games
Mario & Sonic at the London 2012 Olympic Games,Main Theme,https://www.youtube.com/watch?v=AaZAy5g_SCs,games
Mario & Sonic at The Olympic Games,Main Menu,https://www.youtube.com/watch?v=jWkBiHcf7c0,games
Mario and Luigi: Partners in Time,Main Title,https://www.youtube.com/watch?v=GNxZ_izoC8I,games
Mario Basket 3-on-3,Main Theme,https://www.youtube.com/watch?v=ehAZmNS6BPI,games
Mario Kart 7,Main Title Theme,https://www.youtube.com/watch?v=eHJrBX68KeQ,games
Mario Kart 8,Main Theme,https://www.youtube.com/watch?v=YWkbfwTN46Y,games
Mario Kart Double Dash,Main Theme,https://www.youtube.com/watch?v=AC9aGiH8mlA,games
Mario Kart DS,Title Screen,https://www.youtube.com/watch?v=zIAZNPc9Nuc,games
Mario Kart Wii,Title Theme,https://www.youtube.com/watch?v=9at-MMF_X8E,games
Mario Kart World,Main Theme,https://www.youtube.com/watch?v=5oV9hjX3UNQ,games
Mario Party,Opening Theme,https://www.youtube.com/watch?v=L5-4JteXr8M,games
Mario Party 8,Welcome to Mario Party!,https://www.youtube.com/watch?v=PZVNi6L7g54,games
Mario Party DS,Grand Opening,https://www.youtube.com/watch?v=GmrB-nDIp1I,games
Mario vs. Donkey Kong ,Title Screen,https://www.youtube.com/watch?v=tw6cnhgz-Gw,games
Mario vs. Donkey Kong 2,Title Screen,https://www.youtube.com/watch?v=UTEGZjIu1Ok,games
Marvel Rivals,Main Menu,https://www.youtube.com/watch?v=0B9seGmDzXE,games
Mega Man 2,Intro Opening Theme,https://www.youtube.com/watch?v=ZT9DST_M_g8,games
Mega Man X,Title,https://www.youtube.com/watch?v=KVGv1Kejhy8,games
Metal Gear Rising: Revengeance,A Stranger I Remain Extended,https://www.youtube.com/watch?v=h-rj8HVW3PQ,games
Metal Gear Solid,Main Theme,https://www.youtube.com/watch?v=EzzJ9Z2sF5Y,games
Metal Gear Solid 3,Main Theme,https://www.youtube.com/watch?v=jaxJQ6CifHw,games
Metroid,Title Theme,https://www.youtube.com/watch?v=M-U3sVX2G3w,games
